id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
43,43.00,E4E3_0,5.10,0.00,0.00,97.00,C2C3_0,85.60,4.66,54.00,473.76,6.00,2,0.00,20.03,0,tripinfo_43 emissions_43 fcd_43,DEFAULT_VEHTYPE,1.04,,3992.853108,186152.588584,22.501355,3.521229,77.431684,59374.580201,0
53,53.00,A3A2_0,5.10,0.00,0.00,97.00,C1B1_0,85.60,14.47,44.00,469.56,0.00,0,0.00,10.74,0,tripinfo_53 emissions_53 fcd_53,DEFAULT_VEHTYPE,1.10,,3103.434217,188319.981347,18.580790,3.621485,78.899337,60065.211046,0
2,2.00,D2E2_0,5.10,0.00,0.00,98.00,D1D2_0,85.60,8.92,96.00,364.39,44.00,2,0.00,68.07,0,tripinfo_2 emissions_2 fcd_2,DEFAULT_VEHTYPE,1.01,,11571.614454,304310.381530,59.793872,6.646060,133.539830,97063.882532,0
38,38.00,E2E1_0,5.10,0.00,0.00,98.00,C1C2_0,85.60,9.46,60.00,369.76,14.00,1,0.00,34.39,0,tripinfo_38 emissions_38 fcd_38,DEFAULT_VEHTYPE,1.10,,5855.142768,214049.222388,31.736223,4.461148,92.667116,68272.667047,0
27,27.00,D0E0_0,5.10,0.00,0.00,102.00,C4D4_0,85.60,12.95,75.00,773.45,0.00,0,0.00,14.03,0,tripinfo_27 emissions_27 fcd_27,DEFAULT_VEHTYPE,0.95,,3277.443038,227932.054350,20.192152,3.755027,91.142160,72700.033053,0
0,0.00,D0E0_0,5.10,0.00,0.00,103.00,A0B0_0,89.60,13.65,103.00,782.77,20.00,2,0.00,46.57,0,tripinfo_0 emissions_0 fcd_0,DEFAULT_VEHTYPE,1.06,,9559.377093,397389.191523,52.933459,8.050299,169.840164,126749.860179,0
5,5.00,B1B0_0,5.10,0.00,0.00,103.00,C2C3_0,85.60,11.02,98.00,465.19,35.00,1,0.00,54.67,0,tripinfo_5 emissions_5 fcd_5,DEFAULT_VEHTYPE,0.83,,9932.531436,281361.114106,51.827022,5.873225,121.891407,89743.728166,0
34,37.00,B3B2_0,5.10,0.00,3.00,103.00,B2B1_0,85.60,8.67,66.00,180.50,41.00,1,0.00,52.68,0,tripinfo_34 emissions_34 fcd_34,DEFAULT_VEHTYPE,0.99,,8848.368012,203714.485333,45.058842,4.580879,90.090335,64978.038803,0
12,12.00,E3E2_0,5.10,0.00,0.00,104.00,B3B4_0,85.60,13.96,92.00,569.76,29.00,2,0.00,50.93,0,tripinfo_12 emissions_12 fcd_12,DEFAULT_VEHTYPE,1.05,,9279.141302,315476.547378,49.482002,6.424950,134.592039,100624.314643,0
45,45.00,A3A2_0,5.10,0.00,0.00,104.00,D0D1_0,85.60,14.64,59.00,681.64,0.00,0,0.00,12.68,0,tripinfo_45 emissions_45 fcd_45,DEFAULT_VEHTYPE,1.09,,3011.788522,209771.138773,18.119182,3.474509,82.668410,66907.487777,0
52,61.00,B2B1_0,5.10,0.00,9.00,105.00,D0E0_0,89.60,13.83,44.00,484.29,0.00,0,0.00,8.85,0,tripinfo_52 emissions_52 fcd_52,DEFAULT_VEHTYPE,1.02,,2366.626014,161112.894256,14.455082,2.820705,65.370426,51387.576035,0
65,65.00,B3A3_0,5.10,0.00,0.00,105.00,A1B1_0,85.60,11.57,40.00,380.09,0.00,0,0.00,7.41,0,tripinfo_65 emissions_65 fcd_65,DEFAULT_VEHTYPE,0.88,,1978.636197,120832.960727,11.737525,1.990136,48.493101,38540.398880,0
78,78.00,B3B4_0,5.10,0.00,0.00,107.00,C4C3_0,85.60,13.57,29.00,269.76,0.00,0,0.00,7.75,0,tripinfo_78 emissions_78 fcd_78,DEFAULT_VEHTYPE,1.01,,2161.101489,125201.222953,12.699173,2.335180,52.133475,39933.420039,0
