time,id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
11.00,1,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.33,!1,DEFAULT_VEHTYPE,0.00,:B1_1_0,9.69,10.09,180.00,98.40,97.51
11.00,11,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!11,DEFAULT_VEHTYPE,0.00,B3C3_0,5.10,0.00,90.00,112.30,298.40
11.00,2,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.17,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,80.64,7.28,90.00,387.84,198.40
11.00,3,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.45,!3,DEFAULT_VEHTYPE,0.00,E1E2_0,80.24,11.06,0.00,401.60,187.44
11.00,4,HBEFA3/PC_G_EU4,2609.18,4.04,0.08,0.85,0.02,832.22,0.00,64.31,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,62.35,13.19,90.00,269.55,-1.60
11.00,5,HBEFA3/PC_G_EU4,9554.53,161.12,0.96,4.17,0.20,3047.42,0.00,71.87,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,42.69,11.29,180.00,98.40,50.11
11.00,6,HBEFA3/PC_G_EU4,6761.71,116.40,0.69,2.89,0.13,2156.66,0.00,68.26,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,34.93,9.85,180.00,-1.60,57.87
11.00,7,HBEFA3/PC_G_EU4,7674.34,139.94,0.82,3.34,0.16,2447.75,0.00,70.00,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,28.47,9.36,270.00,264.33,101.60
11.00,8,HBEFA3/PC_G_EU4,4947.77,112.91,0.63,2.12,0.10,1578.12,0.00,65.94,!8,DEFAULT_VEHTYPE,0.00,B1B0_0,19.36,6.70,180.00,98.40,73.44
11.00,9,HBEFA3/PC_G_EU4,4684.96,143.81,0.77,2.07,0.10,1494.31,0.00,67.96,!9,DEFAULT_VEHTYPE,0.00,D4C4_0,10.64,3.96,270.00,282.16,401.60
12.00,0,HBEFA3/PC_G_EU4,5753.89,122.28,0.69,2.48,0.12,1835.23,0.00,67.47,!0,DEFAULT_VEHTYPE,0.00,E0E1_0,7.79,7.31,0.00,401.60,10.99
12.00,1,HBEFA3/PC_G_EU4,1839.99,13.75,0.10,0.57,0.01,586.89,0.00,61.46,!1,DEFAULT_VEHTYPE,0.00,B1B0_0,5.28,9.99,180.00,98.40,87.52
12.00,10,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!10,DEFAULT_VEHTYPE,0.00,D4C4_0,5.10,0.00,270.00,287.70,401.60
12.00,11,HBEFA3/PC_G_EU4,3690.03,149.09,0.77,1.65,0.08,1176.99,0.00,66.70,!11,DEFAULT_VEHTYPE,0.00,B3C3_0,7.35,2.25,90.00,114.55,298.40
12.00,12,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!12,DEFAULT_VEHTYPE,0.00,E3E2_0,5.10,0.00,180.00,398.40,287.70
12.00,2,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.67,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,84.97,4.33,90.00,392.17,198.40
12.00,3,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.77,!3,DEFAULT_VEHTYPE,0.00,:E2_4_0,1.20,6.56,358.06,401.43,193.98
12.00,4,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.78,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,73.80,11.45,90.00,281.00,-1.60
12.00,5,HBEFA3/PC_G_EU4,1615.04,0.00,0.03,0.43,0.00,515.15,0.00,62.09,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,53.79,11.11,180.00,98.40,39.01
12.00,6,HBEFA3/PC_G_EU4,7989.07,125.26,0.76,3.42,0.16,2548.12,0.00,69.56,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,46.68,11.74,180.00,-1.60,46.12
12.00,7,HBEFA3/PC_G_EU4,9285.44,152.39,0.92,4.04,0.20,2961.60,0.00,71.31,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,40.16,11.69,270.00,252.64,101.60
12.00,8,HBEFA3/PC_G_EU4,6449.43,122.01,0.71,2.78,0.13,2057.06,0.00,68.18,!8,DEFAULT_VEHTYPE,0.00,B1B0_0,28.00,8.64,180.00,98.40,64.80
12.00,9,HBEFA3/PC_G_EU4,4485.23,117.62,0.64,1.93,0.09,1430.60,0.00,65.35,!9,DEFAULT_VEHTYPE,0.00,D4C4_0,16.20,5.57,270.00,276.60,401.60
13.00,0,HBEFA3/PC_G_EU4,6149.44,111.75,0.65,2.63,0.12,1961.38,0.00,67.49,!0,DEFAULT_VEHTYPE,0.00,E0E1_0,16.83,9.04,0.00,401.60,20.03
