time,id,x,y,angle,type,speed,pos,lane,slope
18.00,18,312.30,398.40,90.00,DEFAULT_VEHTYPE,0.00,5.10,D4E4_0,0.00
18.00,2,398.40,153.68,180.00,DEFAULT_VEHTYPE,12.23,39.12,E2E1_0,0.00
18.00,3,342.28,201.60,270.00,DEFAULT_VEHTYPE,14.74,50.52,E2D2_0,0.00
18.00,4,279.80,1.60,270.00,DEFAULT_VEHTYPE,7.28,13.00,D0C0_0,0.00
18.00,5,101.05,6.37,129.23,DEFAULT_VEHTYPE,1.76,3.67,:B0_2_0,0.00
18.00,6,6.92,-1.60,92.08,DEFAULT_VEHTYPE,5.43,3.72,A0B0_0,0.00
18.00,7,202.89,103.18,289.04,DEFAULT_VEHTYPE,5.41,4.73,:C1_4_0,0.00
18.00,8,98.40,13.61,180.00,DEFAULT_VEHTYPE,1.94,79.19,B1B0_0,0.00
18.00,9,214.35,401.60,270.00,DEFAULT_VEHTYPE,11.18,78.45,D4C4_0,0.00
19.00,0,401.60,92.64,0.00,DEFAULT_VEHTYPE,7.63,89.44,E0E1_0,0.00
19.00,1,98.40,22.22,180.00,DEFAULT_VEHTYPE,2.29,70.58,B1B0_0,0.00
19.00,10,239.53,401.60,270.00,DEFAULT_VEHTYPE,12.23,53.27,D4C4_0,0.00
19.00,11,177.53,298.40,90.00,DEFAULT_VEHTYPE,12.72,70.33,B3C3_0,0.00
19.00,12,398.40,232.78,180.00,DEFAULT_VEHTYPE,13.80,60.02,E3E2_0,0.00
19.00,13,56.11,198.40,90.00,DEFAULT_VEHTYPE,11.55,48.91,A2B2_0,0.00
19.00,14,361.16,1.60,270.00,DEFAULT_VEHTYPE,10.04,35.64,E0D0_0,0.00
19.00,15,265.54,401.60,270.00,DEFAULT_VEHTYPE,8.37,27.26,D4C4_0,0.00
19.00,16,176.48,301.60,270.00,DEFAULT_VEHTYPE,5.37,16.32,C3B3_0,0.00
19.00,17,117.71,398.40,90.00,DEFAULT_VEHTYPE,3.66,10.51,B4C4_0,0.00
19.00,18,314.51,398.40,90.00,DEFAULT_VEHTYPE,2.21,7.31,D4E4_0,0.00
19.00,19,387.70,101.60,270.00,DEFAULT_VEHTYPE,0.00,5.10,E1D1_0,0.00
19.00,2,398.40,139.95,180.00,DEFAULT_VEHTYPE,13.72,52.85,E2E1_0,0.00
19.00,3,328.40,201.60,270.00,DEFAULT_VEHTYPE,13.88,64.40,E2D2_0,0.00
19.00,4,271.18,1.60,270.00,DEFAULT_VEHTYPE,8.62,21.62,D0C0_0,0.00
19.00,5,101.60,8.07,65.45,DEFAULT_VEHTYPE,1.87,0.87,B0B1_0,0.00
19.00,6,14.08,-1.60,90.00,DEFAULT_VEHTYPE,7.16,10.88,A0B0_0,0.00
19.00,7,201.60,108.48,348.32,DEFAULT_VEHTYPE,5.58,1.28,C1C2_0,0.00
19.00,8,98.40,11.50,180.00,DEFAULT_VEHTYPE,2.12,81.30,B1B0_0,0.00
19.00,9,203.47,401.60,270.00,DEFAULT_VEHTYPE,10.87,3.73,:C4_0_0,0.00
20.00,0,401.05,96.65,353.67,DEFAULT_VEHTYPE,4.06,3.89,:E1_4_0,0.00
20.00,1,98.40,19.51,180.00,DEFAULT_VEHTYPE,2.71,73.29,B1B0_0,0.00
20.00,10,225.90,401.60,270.00,DEFAULT_VEHTYPE,13.63,66.90,D4C4_0,0.00
20.00,11,186.23,298.40,90.00,DEFAULT_VEHTYPE,8.70,79.03,B3C3_0,0.00
20.00,12,398.40,218.90,180.00,DEFAULT_VEHTYPE,13.88,73.90,E3E2_0,0.00
20.00,13,69.50,198.40,90.00,DEFAULT_VEHTYPE,13.39,62.30,A2B2_0,0.00
20.00,14,349.42,1.60,270.00,DEFAULT_VEHTYPE,11.74,47.38,E0D0_0,0.00
20.00,15,255.31,401.60,270.00,DEFAULT_VEHTYPE,10.23,37.49,D4C4_0,0.00
20.00,16,168.68,301.60,270.00,DEFAULT_VEHTYPE,7.80,24.12,C3B3_0,0.00
20.00,17,123.45,398.40,90.00,DEFAULT_VEHTYPE,5.75,16.25,B4C4_0,0.00
20.00,18,318.89,398.40,90.00,DEFAULT_VEHTYPE,4.38,11.69,D4E4_0,0.00
20.00,19,385.72,101.60,270.00,DEFAULT_VEHTYPE,1.98,7.08,E1D1_0,0.00
20.00,2,398.40,126.35,180.00,DEFAULT_VEHTYPE,13.60,66.45,E2E1_0,0.00
20.00,20,287.70,201.60,270.00,DEFAULT_VEHTYPE,0.00,5.10,D2C2_0,0.00
20.00,3,317.75,201.60,270.00,DEFAULT_VEHTYPE,10.64,75.05,E2D2_0,0.00
20.00,4,260.93,1.60,270.00,DEFAULT_VEHTYPE,10.25,31.87,D0C0_0,0.00
20.00,5,101.60,12.31,0.00,DEFAULT_VEHTYPE,4.23,5.11,B0B1_0,0.00
20.00,6,22.74,-1.60,90.00,DEFAULT_VEHTYPE,8.66,19.54,A0B0_0,0.00
20.00,7,201.60,116.18,0.00,DEFAULT_VEHTYPE,7.70,8.98,C1C2_0,0.00
20.00,8,98.40,9.16,180.00,DEFAULT_VEHTYPE,2.34,83.64,B1B0_0,0.00
20.00,9,192.51,401.60,270.00,DEFAULT_VEHTYPE,10.97,0.29,C4B4_0,0.00
21.00,0,401.02,96.71,353.26,DEFAULT_VEHTYPE,0.07,3.96,:E1_4_0,0.00
21.00,1,98.40,17.66,180.00,DEFAULT_VEHTYPE,1.85,75.14,B1B0_0,0.00
21.00,10,214.86,401.60,270.00,DEFAULT_VEHTYPE,11.04,77.94,D4C4_0,0.00
21.00,11,190.69,298.40,90.00,DEFAULT_VEHTYPE,4.45,83.49,B3C3_0,0.00
21.00,12,398.40,207.93,180.00,DEFAULT_VEHTYPE,10.97,84.87,E3E2_0,0.00
21.00,13,84.10,198.40,90.00,DEFAULT_VEHTYPE,14.60,76.90,A2B2_0,0.00
21.00,14,336.00,1.60,270.00,DEFAULT_VEHTYPE,13.43,60.80,E0D0_0,0.00
21.00,15,242.83,401.60,270.00,DEFAULT_VEHTYPE,12.49,49.97,D4C4_0,0.00
21.00,16,159.44,301.60,270.00,DEFAULT_VEHTYPE,9.24,33.36,C3B3_0,0.00
21.00,17,130.78,398.40,90.00,DEFAULT_VEHTYPE,7.33,23.58,B4C4_0,0.00
21.00,18,325.29,398.40,90.00,DEFAULT_VEHTYPE,6.40,18.09,D4E4_0,0.00
21.00,19,381.53,101.60,270.00,DEFAULT_VEHTYPE,4.19,11.27,E1D1_0,0.00
21.00,2,398.40,114.64,180.00,DEFAULT_VEHTYPE,11.71,78.16,E2E1_0,0.00
21.00,20,285.71,201.60,270.00,DEFAULT_VEHTYPE,1.99,7.09,D2C2_0,0.00
21.00,21,101.60,112.30,0.00,DEFAULT_VEHTYPE,0.00,5.10,B1B2_0,0.00
21.00,3,310.84,201.60,270.00,DEFAULT_VEHTYPE,6.91,81.96,E2D2_0,0.00
21.00,4,249.32,1.60,270.00,DEFAULT_VEHTYPE,11.61,43.48,D0C0_0,0.00
21.00,5,101.60,17.90,0.00,DEFAULT_VEHTYPE,5.60,10.70,B0B1_0,0.00
21.00,6,34.00,-1.60,90.00,DEFAULT_VEHTYPE,11.25,30.80,A0B0_0,0.00
21.00,7,201.60,126.31,0.00,DEFAULT_VEHTYPE,10.13,19.11,C1C2_0,0.00
21.00,8,98.67,6.80,176.89,DEFAULT_VEHTYPE,2.44,0.48,:B0_2_0,0.00
21.00,9,180.88,401.60,270.00,DEFAULT_VEHTYPE,11.62,11.92,C4B4_0,0.00
22.00,0,401.01,96.71,353.24,DEFAULT_VEHTYPE,0.00,3.97,:E1_4_0,0.00
22.00,1,98.40,15.36,180.00,DEFAULT_VEHTYPE,2.30,77.44,B1B0_0,0.00
22.00,10,208.32,401.60,270.00,DEFAULT_VEHTYPE,6.54,84.48,D4C4_0,0.00
22.00,11,191.38,298.40,90.00,DEFAULT_VEHTYPE,0.69,84.18,B3C3_0,0.00
22.00,12,395.96,202.37,209.72,DEFAULT_VEHTYPE,6.47,5.73,:E2_0_0,0.00
22.00,14,323.42,1.60,270.00,DEFAULT_VEHTYPE,12.58,73.38,E0D0_0,0.00
22.00,15,230.38,401.60,270.00,DEFAULT_VEHTYPE,12.44,62.42,D4C4_0,0.00
22.00,16,148.44,301.60,270.00,DEFAULT_VEHTYPE,11.00,44.36,C3B3_0,0.00
22.00,17,139.71,398.40,90.00,DEFAULT_VEHTYPE,8.92,32.51,B4C4_0,0.00
22.00,18,334.18,398.40,90.00,DEFAULT_VEHTYPE,8.90,26.98,D4E4_0,0.00
22.00,19,376.01,101.60,270.00,DEFAULT_VEHTYPE,5.52,16.79,E1D1_0,0.00
22.00,2,398.40,107.43,180.00,DEFAULT_VEHTYPE,7.21,85.37,E2E1_0,0.00
22.00,20,282.28,201.60,270.00,DEFAULT_VEHTYPE,3.43,10.52,D2C2_0,0.00
22.00,21,101.60,114.40,0.00,DEFAULT_VEHTYPE,2.10,7.20,B1B2_0,0.00
22.00,22,1.60,212.30,0.00,DEFAULT_VEHTYPE,0.00,5.10,A2A3_0,0.00
